Name,Class,Role,Tier,Score,Trend,Win,Role.1,Pick,Ban,KDA,Lost
Lee Sin,Fighter,JUNGLE,God,91.03,13.94,0.0,92.93%,13.32%,7.59%,2.67,100.0
Leona,Tank,SUPPORT,S,57.54,-0.02,0.0,98.61%,5.49%,3.77%,2.39,100.0
Lillia,Fighter,JUNGLE,A,51.06,0.54,0.0,87.66%,3.89%,2.04%,2.75,100.0
Lissandra,Mage,MID,A,47.5,-3.35,0.0,92.35%,2.95%,1.40%,2.4,100.0
Lucian,Marksman,ADC,B,45.63,-7.42,0.0,92.80%,7.36%,2.30%,2.22,100.0
Lulu,Support,SUPPORT,S,59.04,-0.46,0.0,97.34%,6.64%,6.75%,2.85,100.0
Lux,Mage,SUPPORT,God,84.82,7.57,0.0,64.68%,11.55%,11.12%,2.36,100.0
Lux,Mage,MID,S,60.79,-0.11,0.0,31.83%,5.03%,11.12%,2.87,100.0
Malphite,Tank,TOP,God,83.04,-1.26,0.0,72.61%,6.62%,13.84%,2.48,100.0
Malphite,Tank,MID,B,46.92,-1.33,0.0,12.29%,1.12%,13.84%,2.55,100.0
Malphite,Tank,SUPPORT,D,30.04,-4.96,0.0,11.74%,1.09%,13.79%,1.99,100.0
Malzahar,Mage,MID,A,51.78,-1.03,0.0,89.78%,3.73%,5.55%,2.27,100.0
Maokai,Tank,JUNGLE,A,52.39,1.0,0.0,64.48%,3.61%,1.08%,3.05,100.0
Maokai,Tank,SUPPORT,B,46.53,5.55,0.0,18.87%,1.01%,1.08%,2.37,100.0
Maokai,Tank,TOP,B,43.6,2.19,0.0,15.61%,0.89%,1.08%,2.44,100.0
Master Yi,Assassin,JUNGLE,God,71.87,-1.37,0.0,91.72%,7.90%,19.09%,2.06,100.0
Milio,Support,SUPPORT,God,81.15,-11.18,0.0,99.51%,8.81%,18.76%,3.39,100.0
Miss Fortune,Marksman,ADC,S,60.44,-4.87,0.0,91.94%,12.21%,4.64%,2.31,100.0
Mordekaiser,Fighter,TOP,God,72.79,-1.18,0.0,85.39%,6.38%,11.25%,1.83,100.0
Morgana,Mage,SUPPORT,S,64.13,5.31,0.0,89.62%,5.96%,24.57%,2.36,100.0
Nami,Support,SUPPORT,A,52.82,-2.31,0.0,99.39%,4.70%,0.46%,2.93,100.0
Nasus,Fighter,TOP,S,66.24,-5.88,0.0,81.24%,5.26%,5.33%,1.92,100.0
Nasus,Fighter,MID,B,42.5,1.0,0.0,11.60%,0.58%,5.33%,2.2,100.0
Nautilus,Tank,SUPPORT,God,87.81,8.42,0.0,96.15%,11.97%,14.67%,2.3,100.0
Neeko,Mage,MID,A,54.1,-11.96,0.0,47.72%,3.25%,15.44%,2.51,100.0
Neeko,Mage,SUPPORT,B,44.74,-2.19,0.0,37.24%,2.75%,15.44%,2.02,100.0
Nidalee,Assassin,JUNGLE,A,54.05,6.14,0.0,90.77%,5.29%,5.70%,2.92,100.0
Nilah,Marksman,ADC,B,45.72,5.1,0.0,97.23%,3.03%,5.33%,2.25,100.0
Nocturne,Assassin,JUNGLE,A,56.43,3.43,0.0,94.08%,4.79%,4.66%,2.65,100.0
Nunu,Tank,JUNGLE,B,42.05,-2.96,0.0,90.95%,3.81%,0.92%,2.66,100.0
Olaf,Fighter,TOP,A,48.79,0.53,0.0,86.29%,2.82%,3.77%,1.74,100.0
Olaf,Fighter,JUNGLE,D,22.96,-3.37,0.0,10.80%,0.31%,3.77%,2.17,100.0
Orianna,Mage,MID,A,50.56,-0.15,0.0,89.37%,2.87%,0.27%,2.76,100.0
Ornn,Tank,TOP,S,60.18,-1.99,0.0,93.53%,4.40%,1.16%,2.4,100.0
Pantheon,Fighter,MID,A,49.94,-2.96,0.0,32.08%,2.89%,5.56%,2.29,100.0
Pantheon,Fighter,TOP,A,49.25,3.86,0.0,32.83%,2.70%,5.56%,2.03,100.0
Pantheon,Fighter,SUPPORT,C,36.47,1.46,0.0,25.58%,2.33%,5.56%,1.85,100.0
Poppy,Tank,TOP,A,49.74,0.42,0.0,42.02%,2.35%,2.98%,2.21,100.0
Poppy,Tank,JUNGLE,B,44.39,0.46,0.0,49.46%,2.64%,2.98%,2.89,100.0
Pyke,Support,SUPPORT,S,67.1,4.07,0.0,95.33%,8.26%,12.75%,2.16,100.0
Qiyana,Assassin,MID,A,47.41,5.15,0.0,82.89%,3.10%,1.14%,2.2,100.0
Qiyana,Assassin,JUNGLE,D,20.78,-2.99,0.0,11.00%,0.39%,1.14%,2.34,100.0
Quinn,Marksman,TOP,A,49.07,5.45,0.0,80.07%,2.25%,1.36%,1.97,100.0
Quinn,Marksman,MID,B,44.2,-2.63,0.0,11.23%,0.29%,1.36%,2.28,100.0
Rakan,Support,SUPPORT,God,70.91,3.7,0.0,98.95%,8.24%,1.93%,2.9,100.0
Rammus,Tank,JUNGLE,A,49.63,-1.58,0.0,80.90%,2.69%,8.45%,3.11,100.0
Rammus,Tank,TOP,D,30.44,-3.91,0.0,15.06%,0.43%,8.45%,1.61,100.0
Rek'Sai,Fighter,JUNGLE,S,69.23,-9.71,0.0,91.38%,5.50%,18.74%,2.79,100.0
Rell,Tank,SUPPORT,God,80.81,11.71,0.0,85.97%,7.93%,13.06%,2.95,100.0
Rell,Tank,JUNGLE,B,46.63,0.0,0.0,13.00%,1.15%,13.06%,3.58,100.0
Renata Glasc,Support,SUPPORT,B,44.57,-0.25,0.0,98.68%,1.93%,0.50%,2.64,100.0
Renekton,Fighter,TOP,God,77.61,12.07,0.0,91.06%,7.64%,3.83%,1.9,100.0
Rengar,Assassin,JUNGLE,S,62.69,0.83,0.0,82.23%,5.92%,21.29%,2.37,100.0
Rengar,Assassin,TOP,C,39.96,-1.09,0.0,14.21%,1.06%,21.29%,2.02,100.0
Riven,Fighter,TOP,A,55.5,0.6,0.0,89.32%,4.32%,1.51%,1.81,100.0
Rumble,Fighter,MID,B,47.23,6.27,0.0,18.85%,0.65%,1.37%,2.58,100.0
Rumble,Fighter,TOP,B,45.51,3.43,0.0,65.29%,2.31%,1.37%,2.12,100.0
Rumble,Fighter,JUNGLE,D,31.2,2.43,0.0,13.22%,0.47%,1.37%,2.86,100.0
Ryze,Mage,MID,B,45.59,-0.42,0.0,82.64%,2.18%,0.23%,2.35,100.0
Ryze,Mage,TOP,C,35.71,-1.31,0.0,14.87%,0.41%,0.23%,1.98,100.0
Samira,Marksman,ADC,S,57.04,-4.91,0.0,97.60%,10.77%,21.63%,2.19,100.0
Sejuani,Tank,JUNGLE,A,49.91,3.2,0.0,85.88%,3.52%,0.72%,3.27,100.0
